step;id;q_stock;q_consumed;q_wasted
0;1;10;0;0
0;2;0;0;0
0;3;0;0;0
0;4;0;0;0
0;5;0;0;0
1;1;19;0;0
1;2;0;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
2;1;34;0;0
2;2;0;0;0
2;3;0;0;0
2;4;0;0;0
2;5;0;0;0
3;1;53;0;0
3;2;0;0;0
3;3;0;0;0
3;4;3;0;0
3;5;0;0;0
4;1;72;0;0
4;2;0;0;0
4;3;0;0;0
4;4;8;0;0
4;5;0;0;0
5;1;92;0;0
5;2;0;0;0
5;3;0;0;0
5;4;8;0;0
5;5;0;0;0
6;1;93;0;0
6;2;0;0;0
6;3;0;0;0
6;4;14;0;0
6;5;0;0;0
7;1;93;0;0
7;2;0;0;0
7;3;0;0;0
7;4;20;0;0
7;5;0;0;0
8;1;99;0;0
8;2;0;0;0
8;3;0;0;0
8;4;20;0;0
8;5;0;0;0
9;1;99;0;0
9;2;0;0;0
9;3;0;0;0
9;4;20;0;0
9;5;0;0;0
10;1;99;0;0
10;2;0;0;0
10;3;0;0;0
10;4;20;0;0
10;5;0;0;0
11;1;99;0;0
11;2;0;0;0
11;3;0;0;0
11;4;20;0;0
11;5;0;0;0
12;1;92;0;0
12;2;0;0;0
12;3;0;0;0
12;4;27;0;0
12;5;0;0;0
13;1;93;0;0
13;2;0;0;0
13;3;0;0;0
13;4;33;0;0
13;5;0;0;0
14;1;94;0;0
14;2;0;0;0
14;3;0;0;0
14;4;38;0;0
14;5;0;0;0
15;1;94;0;0
15;2;0;0;0
15;3;0;0;0
15;4;43;0;0
15;5;0;0;0
16;1;93;0;0
16;2;0;0;0
16;3;0;0;0
16;4;49;0;0
16;5;0;0;0
17;1;93;0;0
17;2;0;0;0
17;3;0;0;0
17;4;55;0;0
17;5;0;0;0
18;1;94;0;0
18;2;0;0;0
18;3;0;0;0
18;4;60;0;0
18;5;0;0;0
19;1;94;0;0
19;2;0;0;0
19;3;0;0;0
19;4;65;0;0
19;5;0;0;0
20;1;93;0;0
20;2;0;0;0
20;3;0;0;0
20;4;71;0;0
20;5;0;0;0
21;1;93;0;0
21;2;0;0;0
21;3;0;0;0
21;4;77;0;0
21;5;0;0;0
22;1;94;0;0
22;2;0;0;0
22;3;0;0;0
22;4;79;0;0
22;5;0;0;0
23;1;94;0;0
23;2;3;0;0
23;3;0;0;0
23;4;79;0;0
23;5;0;0;0
24;1;93;0;0
24;2;5;0;0
24;3;0;0;0
24;4;85;0;0
24;5;3;0;0
25;1;93;0;0
25;2;0;0;0
25;3;0;0;0
25;4;85;0;0
25;5;8;0;0
26;1;94;0;0
26;2;6;0;0
26;3;0;0;0
26;4;84;0;0
26;5;8;0;0
27;1;94;0;0
27;2;6;0;0
27;3;0;0;0
27;4;89;0;0
27;5;14;0;0
28;1;93;0;0
28;2;0;0;0
28;3;0;0;0
28;4;95;0;0
28;5;20;0;0
29;1;93;0;0
29;2;0;0;0
29;3;0;0;0
29;4;101;0;0
29;5;17;0;0
30;1;94;0;0
30;2;0;0;0
30;3;3;0;0
30;4;106;0;0
30;5;12;0;0
31;1;94;0;0
31;2;0;0;0
31;3;5;3;0
31;4;104;0;0
31;5;12;0;0
32;1;93;0;0
32;2;7;0;0
32;3;0;8;0
32;4;104;0;0
32;5;6;0;0
33;1;93;0;0
33;2;6;0;0
33;3;6;8;0
33;4;105;0;0
33;5;7;0;0
34;1;94;0;0
34;2;5;0;0
34;3;0;14;6
34;4;105;0;0
34;5;13;0;0
35;1;94;0;0
35;2;5;0;0
35;3;0;14;6
35;4;104;0;0
35;5;18;0;0
36;1;88;0;5
36;2;6;0;0
36;3;0;14;6
36;4;104;0;0
36;5;23;0;0
37;1;83;0;14
37;2;6;0;0
37;3;0;14;6
37;4;105;0;0
37;5;29;0;0
38;1;70;0;36
38;2;5;0;0
38;3;0;14;6
38;4;105;0;0
38;5;28;0;0
39;1;67;0;60
39;2;5;0;0
39;3;0;14;13
39;4;99;0;0
39;5;27;0;0
40;1;67;0;80
40;2;6;0;0
40;3;0;14;19
40;4;95;0;0
40;5;27;0;0
41;1;89;0;80
41;2;6;0;0
41;3;0;14;24
41;4;90;0;0
41;5;28;0;0
42;1;94;0;80
42;2;5;0;0
42;3;5;14;24
42;4;89;0;0
42;5;28;0;0
43;1;98;0;81
43;2;5;0;0
43;3;6;19;24
43;4;83;0;0
43;5;27;0;0
44;1;99;0;81
44;2;6;0;0
44;3;6;25;24
44;4;77;0;0
44;5;27;0;0
45;1;95;0;81
45;2;6;0;0
45;3;5;31;24
45;4;76;0;0
45;5;28;0;0
46;1;99;0;81
46;2;5;0;0
46;3;5;36;24
46;4;71;0;0
46;5;28;0;0
47;1;99;0;81
47;2;5;0;0
47;3;6;41;24
47;4;65;0;0
47;5;27;0;0
48;1;99;0;81
48;2;6;0;0
48;3;6;47;24
48;4;59;0;0
48;5;27;0;0
49;1;93;0;81
49;2;6;0;0
49;3;5;53;24
49;4;60;0;0
49;5;28;0;0
50;1;95;0;81
50;2;5;0;0
50;3;5;58;24
50;4;59;0;0
50;5;28;0;0
51;1;93;0;81
51;2;5;0;0
51;3;6;63;24
51;4;59;0;0
51;5;27;0;0
52;1;95;0;81
52;2;6;0;0
52;3;6;69;24
52;4;57;0;0
52;5;27;0;0
53;1;93;0;81
53;2;6;0;0
53;3;5;75;24
53;4;58;0;0
53;5;28;0;0
54;1;95;0;81
54;2;5;0;0
54;3;5;80;24
54;4;57;0;0
54;5;28;0;0
55;1;93;0;81
55;2;5;0;0
55;3;6;85;24
55;4;57;0;0
55;5;27;0;0
56;1;95;0;81
56;2;6;0;0
56;3;6;91;24
56;4;55;0;0
56;5;27;0;0
57;1;93;0;81
57;2;6;0;0
57;3;5;97;24
57;4;56;0;0
