steps;shelf_life
1;40.0
2;38.81401381321283
3;37.47317395887627
4;36.05577212030711
5;34.62004467801811
6;33.16568676358732
7;31.687641090655358
8;30.208779069579386
9;28.729908585844495
10;27.25277015198673
11;25.776091886591296
12;24.297668368926367
13;22.819237970213685
14;21.34348218247636
15;19.867648371732127
16;18.39173624612352
17;16.91574551233705
18;15.439675875592352
19;14.152588976951495
20;12.963645431562746
21;16.670403589225202
22;16.823595206199286
23;15.719956882684714
24;14.616318559170407
25;13.48918960981138
26;12.224858415442847
27;10.935878342748687
28;9.625139665167477
29;8.3034145184732
30;6.9699434306876835
31;5.644022236092211
32;4.456326766121862
